Ticker1,Ticker2,GNNSimilarity,EmbeddingDistance,WasTrained,ActualPnL,ActualWinRate,ActualTrades
MRNA,RGEN,4.251997947692871,1.060388207435608,True,23.17146513863767,100.0,26.0
EXAS,XRAY,4.118758201599121,0.41570404171943665,False,,,
GILD,VRTX,4.08792781829834,3.709662437438965,False,,,
AMGN,EXAS,4.050106048583984,1.2628344297409058,False,,,
RARE,SRPT,4.038801670074463,1.583328366279602,False,,,
CRSP,DXCM,4.032003402709961,1.3668137788772583,False,,,
CRSP,ILMN,4.031881332397461,1.2810088396072388,False,,,
EXAS,RARE,4.031041145324707,0.35176095366477966,True,29.94240928478756,96.7741935483871,31.0
ABBV,ENTA,3.953688621520996,5.598842620849609,False,,,
GILD,NVAX,3.9327969551086426,3.8239846229553223,False,,,
ABBV,BIIB,3.779327392578125,5.643494606018066,False,,,
ILMN,RGEN,3.740185260772705,1.304351806640625,False,,,
DXCM,RGEN,3.7266039848327637,1.3985477685928345,False,,,
MRNA,XRAY,3.726154327392578,0.5760735869407654,False,,,
AMGN,MRNA,3.711320638656616,1.283029556274414,False,,,
AZN,SRPT,3.6662144660949707,2.5779337882995605,False,,,
AZN,ILMN,3.6464858055114746,1.7926554679870605,False,,,
DXCM,SRPT,3.6373298168182373,1.0977197885513306,False,,,
MRNA,RARE,3.622421979904175,0.5610852837562561,False,,,
EXAS,SRPT,3.6121745109558105,1.449389934539795,False,,,
AZN,DXCM,3.573063373565674,1.8941748142242432,False,,,
DXCM,XRAY,3.51578950881958,0.7302848696708679,True,20.92060697843344,100.0,32.0
ILMN,XRAY,3.4095749855041504,0.7199338674545288,False,,,
MRNA,SRPT,3.3689517974853516,1.4003639221191406,False,,,
ABBV,TMDX,3.3418684005737305,4.406602382659912,False,,,
DXCM,RARE,3.3006763458251953,0.859670102596283,False,,,
ILMN,RARE,3.2857017517089844,0.7358956336975098,False,,,
ILMN,SRPT,3.185706377029419,1.371420979499817,False,,,
AMGN,ILMN,3.1278128623962402,1.5383321046829224,False,,,
EXAS,MRNA,3.1044375896453857,0.30221450328826904,False,,,
AMGN,SRPT,3.101505756378174,2.4270694255828857,False,,,
BNTX,GILD,3.100788116455078,2.609299898147583,False,,,
AMGN,DXCM,3.0477209091186523,1.6595447063446045,False,,,
ABBV,LLY,3.0008699893951416,3.7836124897003174,False,,,
ABBV,VRTX,2.8937578201293945,3.9327781200408936,False,,,
DXCM,EXAS,2.8848860263824463,0.5578188896179199,False,,,
EXAS,ILMN,2.845686197280884,0.4026430547237396,False,,,
AZN,GILD,2.821882963180542,1.90763258934021,False,,,
ABBV,NVAX,2.7989346981048584,4.0258402824401855,False,,,
DXCM,MRNA,2.635965347290039,0.42760491371154785,True,20.1815681375709,100.0,26.0
ILMN,MRNA,2.543863534927368,0.3736436367034912,False,,,
DRIO,GILD,2.4485955238342285,2.4333043098449707,False,,,
DXCM,ILMN,2.4420042037963867,0.35221225023269653,False,,,
AMGN,GILD,2.3998212814331055,1.6120457649230957,False,,,
GILD,RGEN,2.286264419555664,1.839950680732727,False,,,
CRSP,GILD,2.2354938983917236,2.0024988651275635,False,,,
GILD,SDGR,2.2196998596191406,2.1901795864105225,False,,,
ABBV,BNTX,2.197812557220459,2.816239833831787,False,,,
ABBV,AZN,1.9414775371551514,2.171792507171631,True,11.311805667984604,97.5,40.0
ABBV,DRIO,1.7357574701309204,2.581367015838623,False,,,
GILD,RARE,1.7183269262313843,1.5660569667816162,False,,,
ENTA,REGN,1.6802363395690918,5.960804462432861,False,,,
GILD,XRAY,1.6643503904342651,1.6688309907913208,False,,,
ABBV,AMGN,1.6601604223251343,1.8425043821334839,False,,,
BIIB,REGN,1.656792402267456,5.977570056915283,False,,,
ABBV,RGEN,1.6232126951217651,2.007070302963257,False,,,
ABBV,CRSP,1.5930180549621582,2.1475014686584473,False,,,
ABBV,SDGR,1.573702335357666,2.325014114379883,False,,,
EXAS,GILD,1.4341883659362793,1.3271623849868774,False,,,
REGN,TMDX,1.415266752243042,4.786291599273682,False,,,
LLY,REGN,1.3128418922424316,4.162814140319824,False,,,
GILD,MRNA,1.2914438247680664,1.1919277906417847,False,,,
ABBV,RARE,1.2322720289230347,1.6557337045669556,False,,,
REGN,VRTX,1.200981616973877,4.2999467849731445,False,,,
ABBV,XRAY,1.190309762954712,1.7463927268981934,False,,,
NVAX,REGN,1.1308002471923828,4.379601001739502,False,,,
GILD,ILMN,1.0842745304107666,1.1782679557800293,False,,,
DXCM,GILD,1.0252630710601807,1.3167301416397095,False,,,
ABBV,EXAS,1.0213500261306763,1.379799246788025,False,,,
ABBV,MRNA,0.9380123019218445,1.2018170356750488,False,,,
BNTX,REGN,0.8908729553222656,3.190976142883301,False,,,
AZN,REGN,0.8412460684776306,2.5601539611816406,False,,,
GILD,SRPT,0.8185634613037109,2.321922540664673,False,,,
ABBV,ILMN,0.7690465450286865,1.1556732654571533,False,,,
ABBV,DXCM,0.7438210844993591,1.270225167274475,False,,,
AMGN,REGN,0.721634030342102,2.21565318107605,False,,,
ABBV,GILD,0.7202112674713135,0.45770537853240967,False,,,
DRIO,REGN,0.7008121013641357,2.8931972980499268,False,,,
ABBV,SRPT,0.6756183505058289,2.2347311973571777,False,,,
REGN,RGEN,0.6671621799468994,2.3617100715637207,False,,,
